observation_id,source,dataset,source_file,source_rows,source_poll_id,source_question_id,source_race_id,sample_group_id,cycle,geography,geography_type,election_date,poll_start,poll_end,poll_date,date_basis,source_available_date,days_to_election,pollster,population,sample_size,methodology,partisan,source_url,dem_share,rep_share,dem_rep_margin,non_dem_rep_share,response_coverage,reported_answer_sum,outcome_id,matchup_status,selection_status,scalar_seat_mapping_ready,quality_flags,source_stage,source_seat_name,tracking,hypothetical,superseded_by,original_dem_share,original_rep_share,estimate_basis,survey_sample_size,estimate_sample_size,estimate_source,original_outcome_id,original_matchup_status,join_reference_version,canonical_firm,publisher_id,rating_id,rating_name,sponsor_ids,sponsor_names,series_key,identity_basis,rating_family_key,rolling_method_evidence,canonical_sample_group_id,sample_identity_status
538_archive:senate:2115,538_archive,senate,historical/tables/538_archive_senate.csv,2115|2116|2117|2118,86643,196406,9530,538:86643,2024,TX,state,2024-11-05,2024-04-04,2024-04-06,2024-04-06,field_end,2024-04-11,213,Cygnal,lv,1000.0,,,https://www.cygn.al/statewide-texas-poll-trump-cruz-abbott-remain-strong-while-democrats-struggle-on-the-top-issues-voters-support-e-verify-for-all-businesses-reject-woke-corporate-activism/,0.363,0.449,-0.086,0.188,all_exported_answers,0.8610000000000001,2024-TX-regular-gen,matched_candidate_identity,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.363,0.449,,,,,2024-TX-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,cygnal,1347,67,Cygnal,,,cygnal|unspecified,archive_rows_verified,rating:67,,538:86643,source_id_only
538_archive:senate:2119,538_archive,senate,historical/tables/538_archive_senate.csv,2119|2120,86629,196299,9529,538:86629,2024,TN,state,2024-11-05,2024-03-15,2024-04-02,2024-04-02,field_end,2024-04-10,217,Targoz Market Research,lv,955.0,,,https://www.beacontn.org/wp-content/uploads/2024/04/Crosstabs-Party-Voting-History-April-2024.pdf,0.29,0.45,-0.16,0.26,all_exported_answers,0.74,2024-TN-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.29,0.45,,,,,2024-TN-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,targoz market research,1477,454,Targoz Market Research,2003,Beacon Center,targoz market research|ids:2003,archive_rows_verified,rating:454,,538:86629,source_id_only
538_archive:senate:2121,538_archive,senate,historical/tables/538_archive_senate.csv,2121|2122,86629,196300,9529,538:86629,2024,TN,state,2024-11-05,2024-03-15,2024-04-02,2024-04-02,field_end,2024-04-10,217,Targoz Market Research,lv,947.0,,,https://www.beacontn.org/wp-content/uploads/2024/04/Crosstabs-Party-Voting-History-April-2024.pdf,0.21,0.45,-0.24,0.34,all_exported_answers,0.66,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.21,0.45,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,targoz market research,1477,454,Targoz Market Research,2003,Beacon Center,targoz market research|ids:2003,archive_rows_verified,rating:454,,538:86629,source_id_only
538_archive:senate:2123,538_archive,senate,historical/tables/538_archive_senate.csv,2123|2124,86629,196334,9529,538:86629,2024,TN,state,2024-11-05,2024-03-15,2024-04-02,2024-04-02,field_end,2024-04-10,217,Targoz Market Research,rv,1137.0,,,https://www.beacontn.org/wp-content/uploads/2024/04/Crosstabs-Party-Voting-History-April-2024.pdf,0.27,0.44,-0.17,0.29,all_exported_answers,0.71,2024-TN-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.27,0.44,,,,,2024-TN-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,targoz market research,1477,454,Targoz Market Research,2003,Beacon Center,targoz market research|ids:2003,archive_rows_verified,rating:454,,538:86629,source_id_only
538_archive:senate:2125,538_archive,senate,historical/tables/538_archive_senate.csv,2125|2126,86629,196335,9529,538:86629,2024,TN,state,2024-11-05,2024-03-15,2024-04-02,2024-04-02,field_end,2024-04-10,217,Targoz Market Research,rv,1136.0,,,https://www.beacontn.org/wp-content/uploads/2024/04/Crosstabs-Party-Voting-History-April-2024.pdf,0.21,0.45,-0.24,0.34,all_exported_answers,0.66,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.21,0.45,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,targoz market research,1477,454,Targoz Market Research,2003,Beacon Center,targoz market research|ids:2003,archive_rows_verified,rating:454,,538:86629,source_id_only
538_archive:senate:2127,538_archive,senate,historical/tables/538_archive_senate.csv,2127|2128,86577,195800,9505,538:86577,2024,AZ,state,2024-11-05,2024-03-28,2024-03-31,2024-03-31,field_end,2024-04-02,219,RABA Research,rv,503.0,Online Opt-In Panel,,https://www.rabaresearch.com/wp-content/uploads/2024/04/RABA-Arizona-Survey.pdf,0.36,0.28,0.08,0.36,all_exported_answers,0.64,2024-AZ-regular-gen,matched_candidate_identity,retained_no_time_filter,False,,general,Class I,,false,,0.36,0.28,,,,,2024-AZ-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,raba research,1256,269,RABA Research,,,raba research|unspecified,archive_rows_verified,rating:269,,538:86577,source_id_only
538_archive:senate:2129,538_archive,senate,historical/tables/538_archive_senate.csv,2129|2130,86604,196183,9527,538:86604,2024,PA,state,2024-11-05,2024-03-20,2024-03-31,2024-03-31,field_end,2024-04-04,219,Franklin & Marshall College Center for Opinion Research,rv,431.0,Mail-to-Web/Mail-to-Phone,,https://www.fandmpoll.org/franklin-marshall-poll-release-april-2024/,0.46,0.39,0.07,0.15,all_exported_answers,0.8500000000000001,2024-PA-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.46,0.39,,,,,2024-PA-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,franklin & marshall college center for opinion research,1114,106,Franklin & Marshall College Center for Opinion Research,,,franklin & marshall college center for opinion research|unspecified,archive_rows_verified,rating:106,,538:86604,source_id_only
538_archive:senate:2131,538_archive,senate,historical/tables/538_archive_senate.csv,2131|2132,86614,196277,9519,538:86614,2024,MT,state,2024-11-05,2024-03-26,2024-03-29,2024-03-29,field_end,2024-04-08,221,J.L. Partners,lv,503.0,Live Phone/Text/App Panel,,https://helenair.com/news/state-regional/government-politics/elections/poll-shows-tight-senate-race-in-montana/article_bbc0a49c-f5e3-11ee-8158-2b2ad843f5b7.html,0.45,0.48,-0.03,0.07,all_exported_answers,0.9299999999999999,2024-MT-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.45,0.48,,,,,2024-MT-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,j.l. partners,1624,619,J.L. Partners,,,j.l. partners|unspecified,archive_rows_verified,rating:619,,538:86614,source_id_only
538_archive:senate:2133,538_archive,senate,historical/tables/538_archive_senate.csv,2133|2134,86624,196291,9527,538:86624,2024,PA,state,2024-11-05,2024-03-22,2024-03-26,2024-03-26,field_end,2024-04-09,224,The Bullfinch Group,rv,800.0,Online Opt-In Panel,,https://www.commonwealthfoundation.org/wp-content/uploads/2024/04/Common-Ground-in-the-Commonwealth-Q1-2024-Survey-Analysis-Updated.pdf,0.47,0.3,0.17,0.23,all_exported_answers,0.77,2024-PA-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.47,0.3,,,,,2024-PA-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,the bullfinch group,1697,692,The Bullfinch Group,1153,Commonwealth Foundation,the bullfinch group|ids:1153,archive_rows_verified,rating:692,,538:86624,source_id_only
538_archive:senate:2135,538_archive,senate,historical/tables/538_archive_senate.csv,2135|2136,86635,196357,9506,538:86635,2024,CA,state,2024-11-05,2024-03-19,2024-03-25,2024-03-25,field_end,2024-04-11,225,Public Policy Institute of California,lv,1084.0,Probability Panel,,https://www.ppic.org/publication/ppic-statewide-survey-californians-and-education-april-2024/,0.61,0.37,0.24,0.02,all_exported_answers,0.98,2024-CA-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.61,0.37,,,,,,ambiguous_parallel_contests,recent-outcomes-v1,public policy institute of california,382,262,Public Policy Institute of California,,,public policy institute of california|unspecified,archive_rows_verified,rating:262,,538:86635,source_id_only
538_archive:senate:2137,538_archive,senate,historical/tables/538_archive_senate.csv,2137|2138,86575,195796,9513,538:86575,2024,MD,state,2024-11-05,2024-03-19,2024-03-24,2024-03-24,field_end,2024-04-02,226,Goucher College Sarah T. Hughes Center for Politics,rv,800.0,Live Phone/Text-to-Web,,https://www.goucher.edu/hughes-center/documents/Goucher-College-Poll-Spring-2024.pdf,0.42,0.43,-0.01,0.15,all_exported_answers,0.85,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.42,0.43,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,goucher college sarah t. hughes center for politics,1323,414,Goucher College Sarah T. Hughes Center for Politics,1878,Baltimore Banner,goucher college sarah t. hughes center for politics|ids:1878,archive_rows_verified,rating:414,,538:86575,source_id_only
538_archive:senate:2139,538_archive,senate,historical/tables/538_archive_senate.csv,2139|2140,86575,195797,9513,538:86575,2024,MD,state,2024-11-05,2024-03-19,2024-03-24,2024-03-24,field_end,2024-04-02,226,Goucher College Sarah T. Hughes Center for Politics,rv,800.0,Live Phone/Text-to-Web,,https://www.goucher.edu/hughes-center/documents/Goucher-College-Poll-Spring-2024.pdf,0.4,0.44,-0.04,0.16,all_exported_answers,0.8400000000000001,2024-MD-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.4,0.44,,,,,2024-MD-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,goucher college sarah t. hughes center for politics,1323,414,Goucher College Sarah T. Hughes Center for Politics,1878,Baltimore Banner,goucher college sarah t. hughes center for politics|ids:1878,archive_rows_verified,rating:414,,538:86575,source_id_only
538_archive:senate:2141,538_archive,senate,historical/tables/538_archive_senate.csv,2141|2142,86544,195268,9530,538:86544,2024,TX,state,2024-11-05,2024-03-18,2024-03-21,2024-03-21,field_end,2024-03-26,229,Marist College,rv,1117.0,Live Phone/Online Opt-In Panel/Text,,https://maristpoll.marist.edu/polls/the-battleground-2024-texas/,0.45,0.51,-0.06,0.04,all_exported_answers,0.96,2024-TX-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.45,0.51,,,,,2024-TX-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,marist college,1205,183,Marist University,,,marist college|unspecified,archive_rows_verified,rating:183,,538:86544,source_id_only
538_archive:senate:2143,538_archive,senate,historical/tables/538_archive_senate.csv,2143|2144,86605,196188,9533,538:86605,2024,WA,state,2024-11-05,2024-03-18,2024-03-21,2024-03-21,field_end,2024-04-04,229,Echelon Insights,rv,600.0,Live Phone/Text-to-Web,REP,https://drive.google.com/file/d/16Av7N4u93fhgQ47hKJ7ihmzjKqIqstpA/view,0.44,0.36,0.08,0.2,all_exported_answers,0.8,2024-WA-regular-gen,matched_candidate_identity,retained_no_time_filter,False,,general,Class I,,false,,0.44,0.36,,,,,2024-WA-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,echelon insights,1302,407,Echelon Insights,2109,Concerned Taxpayers of Washington State,echelon insights|ids:2109,archive_rows_verified,rating:407,,538:86605,source_id_only
538_archive:senate:2145,538_archive,senate,historical/tables/538_archive_senate.csv,2145|2146,86502,194851,9515,538:86502,2024,MI,state,2024-11-05,2024-03-14,2024-03-18,2024-03-18,field_end,2024-03-21,232,Emerson College,rv,1000.0,IVR/Online Opt-In Panel/Email,,https://emersoncollegepolling.com/michigan-2024-poll-trump-45-biden-44/,0.41,0.38799999999999996,0.022,0.202,all_exported_answers,0.7979999999999999,2024-MI-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.41,0.38799999999999996,,,,,2024-MI-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,emerson college,1102,88,Emerson College,"960,1185",The Hill | Nexstar,"emerson college|ids:960,1185",archive_rows_verified,rating:88,,538:86502,source_id_only
538_archive:senate:2147,538_archive,senate,historical/tables/538_archive_senate.csv,2147|2148,86502,194852,9515,538:86502,2024,MI,state,2024-11-05,2024-03-14,2024-03-18,2024-03-18,field_end,2024-03-21,232,Emerson College,rv,1000.0,IVR/Online Opt-In Panel/Email,,https://emersoncollegepolling.com/michigan-2024-poll-trump-45-biden-44/,0.42,0.366,0.054,0.214,all_exported_answers,0.786,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.42,0.366,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,emerson college,1102,88,Emerson College,"960,1185",The Hill | Nexstar,"emerson college|ids:960,1185",archive_rows_verified,rating:88,,538:86502,source_id_only
538_archive:senate:2149,538_archive,senate,historical/tables/538_archive_senate.csv,2149|2150,86502,194853,9515,538:86502,2024,MI,state,2024-11-05,2024-03-14,2024-03-18,2024-03-18,field_end,2024-03-21,232,Emerson College,rv,1000.0,IVR/Online Opt-In Panel/Email,,https://emersoncollegepolling.com/michigan-2024-poll-trump-45-biden-44/,0.415,0.342,0.073,0.243,all_exported_answers,0.757,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.415,0.342,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,emerson college,1102,88,Emerson College,"960,1185",The Hill | Nexstar,"emerson college|ids:960,1185",archive_rows_verified,rating:88,,538:86502,source_id_only
538_archive:senate:2151,538_archive,senate,historical/tables/538_archive_senate.csv,2151|2152,86502,194854,9515,538:86502,2024,MI,state,2024-11-05,2024-03-14,2024-03-18,2024-03-18,field_end,2024-03-21,232,Emerson College,rv,1000.0,IVR/Online Opt-In Panel/Email,,https://emersoncollegepolling.com/michigan-2024-poll-trump-45-biden-44/,0.434,0.349,0.085,0.217,all_exported_answers,0.7829999999999999,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.434,0.349,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,emerson college,1102,88,Emerson College,"960,1185",The Hill | Nexstar,"emerson college|ids:960,1185",archive_rows_verified,rating:88,,538:86502,source_id_only
538_archive:senate:2153,538_archive,senate,historical/tables/538_archive_senate.csv,2153|2154,86503,194855,9534,538:86503,2024,WI,state,2024-11-05,2024-03-14,2024-03-18,2024-03-18,field_end,2024-03-21,232,Emerson College,rv,1000.0,IVR/Online Opt-In Panel/Email,,https://emersoncollegepolling.com/wisconsin-2024-trump-46-biden-43/,0.44799999999999995,0.41700000000000004,0.031,0.135,all_exported_answers,0.865,2024-WI-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.44799999999999995,0.41700000000000004,,,,,2024-WI-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,emerson college,1102,88,Emerson College,"960,1185",The Hill | Nexstar,"emerson college|ids:960,1185",archive_rows_verified,rating:88,,538:86503,source_id_only
538_archive:senate:2155,538_archive,senate,historical/tables/538_archive_senate.csv,2155|2156,86511,194905,9515,538:86511,2024,MI,state,2024-11-05,2024-03-15,2024-03-16,2024-03-16,field_end,2024-03-22,234,Mitchell Research & Communications,lv,627.0,Text-to-Web,,https://home.mirs.news/blogs/post/trump-endorsement-takes-rogers-from-27-to-67-percent,0.37,0.37,0.0,0.26,all_exported_answers,0.74,2024-MI-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.37,0.37,,,,,2024-MI-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,mitchell research & communications,317,213,Mitchell Research & Communications,801,MIRS News Service,mitchell research & communications|ids:801,archive_rows_verified,rating:213,,538:86511,source_id_only
538_archive:senate:2157,538_archive,senate,historical/tables/538_archive_senate.csv,2157|2158,86496,194795,9505,538:86496,2024,AZ,state,2024-11-05,2024-03-12,2024-03-15,2024-03-15,field_end,2024-03-20,235,Emerson College,rv,1000.0,IVR/Online Opt-In Panel/Email,,https://emersoncollegepolling.com/arizona-2024-poll-trump-48-biden-44/,0.506,0.494,0.012,0.0,all_exported_answers,1.0,2024-AZ-regular-gen,matched_candidate_identity,retained_no_time_filter,False,,general,Class I,,false,,0.506,0.494,,,,,2024-AZ-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,emerson college,1102,88,Emerson College,960,The Hill,emerson college|ids:960,archive_rows_verified,rating:88,,538:86496,source_id_only
538_archive:senate:2159,538_archive,senate,historical/tables/538_archive_senate.csv,2159|2160,86497,194796,9521,538:86497,2024,NV,state,2024-11-05,2024-03-12,2024-03-15,2024-03-15,field_end,2024-03-20,235,Emerson College,rv,1000.0,IVR/Online Opt-In Panel/Email,,https://emersoncollegepolling.com/nevada-2024-poll-trump-44-biden-41/,0.406,0.39,0.016,0.204,all_exported_answers,0.796,2024-NV-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.406,0.39,,,,,2024-NV-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,emerson college,1102,88,Emerson College,"835,960",KLAS-TV Las Vegas | The Hill,"emerson college|ids:835,960",archive_rows_verified,rating:88,,538:86497,source_id_only
538_archive:senate:2161,538_archive,senate,historical/tables/538_archive_senate.csv,2161|2162,86497,194797,9521,538:86497,2024,NV,state,2024-11-05,2024-03-12,2024-03-15,2024-03-15,field_end,2024-03-20,235,Emerson College,rv,1000.0,IVR/Online Opt-In Panel/Email,,https://emersoncollegepolling.com/nevada-2024-poll-trump-44-biden-41/,0.431,0.336,0.095,0.233,all_exported_answers,0.767,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.431,0.336,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,emerson college,1102,88,Emerson College,"835,960",KLAS-TV Las Vegas | The Hill,"emerson college|ids:835,960",archive_rows_verified,rating:88,,538:86497,source_id_only
538_archive:senate:2163,538_archive,senate,historical/tables/538_archive_senate.csv,2163|2164,86497,194798,9521,538:86497,2024,NV,state,2024-11-05,2024-03-12,2024-03-15,2024-03-15,field_end,2024-03-20,235,Emerson College,rv,1000.0,IVR/Online Opt-In Panel/Email,,https://emersoncollegepolling.com/nevada-2024-poll-trump-44-biden-41/,0.442,0.341,0.101,0.217,all_exported_answers,0.783,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.442,0.341,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,emerson college,1102,88,Emerson College,"835,960",KLAS-TV Las Vegas | The Hill,"emerson college|ids:835,960",archive_rows_verified,rating:88,,538:86497,source_id_only
538_archive:senate:2165,538_archive,senate,historical/tables/538_archive_senate.csv,2165|2166,86478,194698,9526,538:86478,2024,OH,state,2024-11-05,2024-03-13,2024-03-13,2024-03-13,field_end,2024-03-16,237,Florida Atlantic University PolCom Lab/Mainstreet Research,lv,705.0,IVR/Text-to-Web,,https://www.faupolling.com/march162024/,0.45399999999999996,0.415,0.039,0.131,all_exported_answers,0.869,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.45399999999999996,0.415,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,florida atlantic university polcom lab/mainstreet research,1801,770,Florida Atlantic University PolCom Lab/Mainstreet Research,,,florida atlantic university polcom lab/mainstreet research|unspecified,archive_rows_verified,rating:770,,538:86478,source_id_only
538_archive:senate:2167,538_archive,senate,historical/tables/538_archive_senate.csv,2167|2168,86478,194699,9526,538:86478,2024,OH,state,2024-11-05,2024-03-13,2024-03-13,2024-03-13,field_end,2024-03-16,237,Florida Atlantic University PolCom Lab/Mainstreet Research,lv,705.0,IVR/Text-to-Web,,https://www.faupolling.com/march162024/,0.474,0.363,0.111,0.163,all_exported_answers,0.837,2024-OH-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.474,0.363,,,,,2024-OH-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,florida atlantic university polcom lab/mainstreet research,1801,770,Florida Atlantic University PolCom Lab/Mainstreet Research,,,florida atlantic university polcom lab/mainstreet research|unspecified,archive_rows_verified,rating:770,,538:86478,source_id_only
538_archive:senate:2169,538_archive,senate,historical/tables/538_archive_senate.csv,2169|2170,86478,194700,9526,538:86478,2024,OH,state,2024-11-05,2024-03-13,2024-03-13,2024-03-13,field_end,2024-03-16,237,Florida Atlantic University PolCom Lab/Mainstreet Research,lv,705.0,IVR/Text-to-Web,,https://www.faupolling.com/march162024/,0.48,0.365,0.115,0.155,all_exported_answers,0.845,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.48,0.365,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,florida atlantic university polcom lab/mainstreet research,1801,770,Florida Atlantic University PolCom Lab/Mainstreet Research,,,florida atlantic university polcom lab/mainstreet research|unspecified,archive_rows_verified,rating:770,,538:86478,source_id_only
538_archive:senate:2171,538_archive,senate,historical/tables/538_archive_senate.csv,2171|2172,86470,194631,9527,538:86470,2024,PA,state,2024-11-05,2024-03-10,2024-03-13,2024-03-13,field_end,2024-03-14,237,Emerson College,rv,1000.0,IVR/Online Opt-In Panel/Text-to-Web/Email,,https://emersoncollegepolling.com/pennsylvania-2024-poll-trump-47-biden-43/,0.523,0.47700000000000004,0.046,-0.0,all_exported_answers,1.0,2024-PA-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.523,0.47700000000000004,,,,,2024-PA-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,emerson college,1102,88,Emerson College,"656,960,1185",WHTM-TV | The Hill | Nexstar,"emerson college|ids:656,960,1185",archive_rows_verified,rating:88,,538:86470,source_id_only
538_archive:senate:2173,538_archive,senate,historical/tables/538_archive_senate.csv,2173|2174,86499,194839,9513,538:86499,2024,MD,state,2024-11-05,2024-03-05,2024-03-12,2024-03-12,field_end,2024-03-20,238,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,rv,1004.0,Live Phone/Text-to-Web,,https://www.washingtonpost.com/dc-md-va/2024/03/20/senate-poll-hogan-trone-alsobrooks/,0.37,0.49,-0.12,0.14,all_exported_answers,0.86,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.37,0.49,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,the washington post/university of maryland center for democracy and civic engagement,1296,755,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,,,the washington post/university of maryland center for democracy and civic engagement|unspecified,archive_rows_verified,rating:755,,538:86499,source_id_only
538_archive:senate:2175,538_archive,senate,historical/tables/538_archive_senate.csv,2175|2176,86499,194840,9513,538:86499,2024,MD,state,2024-11-05,2024-03-05,2024-03-12,2024-03-12,field_end,2024-03-20,238,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,rv,1004.0,Live Phone/Text-to-Web,,https://www.washingtonpost.com/dc-md-va/2024/03/20/senate-poll-hogan-trone-alsobrooks/,0.36,0.5,-0.14,0.14,all_exported_answers,0.86,2024-MD-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.36,0.5,,,,,2024-MD-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,the washington post/university of maryland center for democracy and civic engagement,1296,755,The Washington Post/University of Maryland Center for Democracy and Civic Engagement,,,the washington post/university of maryland center for democracy and civic engagement|unspecified,archive_rows_verified,rating:755,,538:86499,source_id_only
538_archive:senate:2177,538_archive,senate,historical/tables/538_archive_senate.csv,2177|2178,86474,194663,9526,538:86474,2024,OH,state,2024-11-05,2024-03-08,2024-03-11,2024-03-11,field_end,2024-03-15,239,East Carolina University Center for Survey Research,lv,1298.0,IVR/Online Opt-In Panel/Text-to-Web,,https://surveyresearch-ecu.reportablenews.com/pr/matt-dolan-holds-narrow-lead-over-bernie-moreno-in-ohio-senate-republican-primary-frank-larose-in-third-place-general-election-matchups-with-sherrod-brown-competitive-trump-leads-biden-by-10-points,0.41100000000000003,0.431,-0.02,0.158,all_exported_answers,0.8420000000000001,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.41100000000000003,0.431,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,east carolina university center for survey research,1516,523,East Carolina University Center for Survey Research,,,east carolina university center for survey research|unspecified,archive_rows_verified,rating:523,,538:86474,source_id_only
538_archive:senate:2179,538_archive,senate,historical/tables/538_archive_senate.csv,2179|2180,86474,194664,9526,538:86474,2024,OH,state,2024-11-05,2024-03-08,2024-03-11,2024-03-11,field_end,2024-03-15,239,East Carolina University Center for Survey Research,lv,1298.0,IVR/Online Opt-In Panel/Text-to-Web,,https://surveyresearch-ecu.reportablenews.com/pr/matt-dolan-holds-narrow-lead-over-bernie-moreno-in-ohio-senate-republican-primary-frank-larose-in-third-place-general-election-matchups-with-sherrod-brown-competitive-trump-leads-biden-by-10-points,0.446,0.39799999999999996,0.048,0.156,all_exported_answers,0.844,,unmatched_candidate_or_stage,retained_no_time_filter,False,hypothetical_matchup,general,Class I,,true,,0.446,0.39799999999999996,,,,,,unmatched_candidate_or_stage,normalized:20260916T160901.748097Z,east carolina university center for survey research,1516,523,East Carolina University Center for Survey Research,,,east carolina university center for survey research|unspecified,archive_rows_verified,rating:523,,538:86474,source_id_only
538_archive:senate:2181,538_archive,senate,historical/tables/538_archive_senate.csv,2181|2182,86474,194665,9526,538:86474,2024,OH,state,2024-11-05,2024-03-08,2024-03-11,2024-03-11,field_end,2024-03-15,239,East Carolina University Center for Survey Research,lv,1298.0,IVR/Online Opt-In Panel/Text-to-Web,,https://surveyresearch-ecu.reportablenews.com/pr/matt-dolan-holds-narrow-lead-over-bernie-moreno-in-ohio-senate-republican-primary-frank-larose-in-third-place-general-election-matchups-with-sherrod-brown-competitive-trump-leads-biden-by-10-points,0.446,0.405,0.041,0.149,all_exported_answers,0.851,2024-OH-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.446,0.405,,,,,2024-OH-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,east carolina university center for survey research,1516,523,East Carolina University Center for Survey Research,,,east carolina university center for survey research|unspecified,archive_rows_verified,rating:523,,538:86474,source_id_only
538_archive:senate:2183,538_archive,senate,historical/tables/538_archive_senate.csv,2183|2184,86922,198902,9509,538:86922,2024,FL,state,2024-11-05,2024-03-08,2024-03-11,2024-03-11,field_end,2024-05-14,239,Big Data Poll,rv,1378.0,Live Phone/Online Opt-In Panel/Text-to-Web/Text,,https://www.bigdatapoll.com/blog/florida-swings-hard-to-trump-in-sunshine-state-poll-for-march-2024/,0.35600000000000004,0.469,-0.113,0.175,all_exported_answers,0.825,2024-FL-regular-gen,matched_candidate_identity,retained_no_time_filter,True,,general,Class I,,false,,0.35600000000000004,0.469,,,,,2024-FL-regular-gen,matched_candidate_identity,normalized:20260916T160901.748097Z,big data poll,1873,251,Big Data Poll,2133,Public Polling Project,big data poll|ids:2133,archive_rows_verified,rating:251,,538:86922,source_id_only
